"depth.m.","date","temperature"
78,2020-06-22,0.48
79,2020-06-22,0.48
2,2020-06-23,14.12
3,2020-06-23,13.69
4,2020-06-23,13.38
5,2020-06-23,13.19
6,2020-06-23,13.11
7,2020-06-23,12.77
8,2020-06-23,12.15
9,2020-06-23,11.27
10,2020-06-23,10.46
11,2020-06-23,9.88
12,2020-06-23,9.48
13,2020-06-23,9.13
14,2020-06-23,8.77
15,2020-06-23,8.44
16,2020-06-23,8.07
17,2020-06-23,7.36
18,2020-06-23,6.82
19,2020-06-23,6.34
20,2020-06-23,5.83
21,2020-06-23,5.04
22,2020-06-23,4.48
23,2020-06-23,4.07
24,2020-06-23,3.69
25,2020-06-23,3.45
26,2020-06-23,3.16
27,2020-06-23,3.06
28,2020-06-23,2.98
29,2020-06-23,2.86
30,2020-06-23,2.76
31,2020-06-23,2.59
32,2020-06-23,2.37
33,2020-06-23,2.09
34,2020-06-23,1.9
35,2020-06-23,1.72
36,2020-06-23,1.49
37,2020-06-23,1.34
38,2020-06-23,1.15
39,2020-06-23,0.98
40,2020-06-23,0.89
41,2020-06-23,0.82
42,2020-06-23,0.7
43,2020-06-23,0.59
44,2020-06-23,0.51
45,2020-06-23,0.45
46,2020-06-23,0.4
47,2020-06-23,0.28
48,2020-06-23,0.19
49,2020-06-23,0.13
50,2020-06-23,0.11
51,2020-06-23,0.12
52,2020-06-23,0.11
53,2020-06-23,0.11
54,2020-06-23,0.11
55,2020-06-23,0.13
56,2020-06-23,0.18
57,2020-06-23,0.23
58,2020-06-23,0.25
59,2020-06-23,0.27
60,2020-06-23,0.29
61,2020-06-23,0.3
62,2020-06-23,0.32
63,2020-06-23,0.33
64,2020-06-23,0.34
65,2020-06-23,0.35
66,2020-06-23,0.35
67,2020-06-23,0.36
68,2020-06-23,0.37
69,2020-06-23,0.38
70,2020-06-23,0.4
71,2020-06-23,0.42
72,2020-06-23,0.43
73,2020-06-23,0.44
74,2020-06-23,0.46
75,2020-06-23,0.47
76,2020-06-23,0.47
77,2020-06-23,0.48
78,2020-06-23,0.48
